Z_PK,Z_ENT,Z_OPT,ZCAMPAIGN_WEBSITE,ZOFFICIAL_WEBSITE,ZCOMMITTEES,ZEMAIL,ZELECTION_HISTORY,ZMAILING_ADDRESS,ZSTAFF,ZPHYSICAL_ADDRESS,ZROOM,ZPHONE,ZTITLE,ZFAX,ZDISTRICT_NUMBER,GOVERNANCE,ZCOMMITTEES,ZOFFICE_3,ZLINK,ZPARTY,GOVERNANCE_LEVEL,ZCONTACT_FORM,ZOFFICE_5,ZOFFICE_4,ZTWITTER,,ZDISTRICT_MAP,ZIMAGE,ZIMAGE_FILENAME,ZFIRSTNAME,ZLASTNAME
94,,,http://www.johnshadegg.com/,http://johnshadegg.house.gov/,"-Committee on Energy and Commerce
-Select Committee on Energy Independence and Global Warming
-Communications, Technology, and the Internet Subcommittee (Energy and Commerce)
-Energy and Environment Subcommittee (Energy and Commerce)
-Health Subcommittee (Energy and Commerce)",none listed,,"436 Cannon House Office Building
U.S. House, Washington D.C. 20515",,,,(202) 225-3361 :(D.C. office) * (602) 263-5300 :(District office),U.S. Rep.,(202) 225-3462 :(D.C. office) * (602) 248-7733 :(District office),,District 3,"-Committee on Energy and Commerce
-Select Committee on Energy Independence and Global Warming
-Communications, Technology, and the Internet Subcommittee (Energy and Commerce)
-Energy and Environment Subcommittee (Energy and Commerce)
-Health Subcommittee (Energy and Commerce)","2400 E. Arizona Biltmore Circle
Suite 1290
Phoenix, AZ 85016",,R,U.S House of Representatives,http://johnshadegg.house.gov/Contact/ContactForm.htm,,,none listed,,,y,John Shadegg.jpg,John,Shadegg
95,,,http://www.edpastor.com/,http://www.pastor.house.gov/,"-Committee on Appropriations
-Energy and Water Development, and Related Agencies Subcommittee (Appropriations)
-Interior, Environment, and Related Agencies Subcommittee (Appropriations)
-Transportation, and Housing and Urban Development, and Related Agencies Subcommittee (Appropriations)",none listed,,"2465 Rayburn House Office Building
Washington, DC 20515",,,,(202) 225-4065 :(D.C. office) * (602) 256-0551 :(District office),U.S. Rep.,(202) 225-1655 :(D.C.office) * (602) 257-9103 :(District office),,District 4,"-Committee on Appropriations
-Energy and Water Development, and Related Agencies Subcommittee (Appropriations)
-Interior, Environment, and Related Agencies Subcommittee (Appropriations)
-Transportation, and Housing and Urban Development, and Related Agencies Subcommittee (Appropriations)","411 North Central Avenue
Suite 150
Phoenix, AZ 85004",,D,U.S House of Representatives,https://writerep.house.gov/writerep/welcome.shtml,,,none listed,,,y,Ed Pastor.jpg,Ed,Pastor
96,,,http://www.harrymitchellforcongress.com/,http://mitchell.house.gov/,"-Committee on Science and Technology
-Committee on Transportation and Infrastructure
-Committee on Veterans' Affairs
-Aviation Subcommittee (Transportation and Infrastructure)
-Highways and Transit Subcommittee (Transportation and Infrastructure)
-Oversight and Investigations Subcommittee (Veteran's Affairs)
-Technology and Innovation Subcommittee (Science and Technology)
-Water Resources and Environment Subcommittee (Transportation and Infrastructure)",none listed,,"1410 Longworth House Office Building
Washington, D.C. 20515 ",,,,(202) 225-2190 :(D.C. office) * (480) 946-2411 :(District office),U.S. Rep.,(480) 946-2446 :(District office),,District 5,"-Committee on Science and Technology
-Committee on Transportation and Infrastructure
-Committee on Veterans' Affairs
-Aviation Subcommittee (Transportation and Infrastructure)
-Highways and Transit Subcommittee (Transportation and Infrastructure)
-Oversight and Investigations Subcommittee (Veteran's Affairs)
-Technology and Innovation Subcommittee (Science and Technology)
-Water Resources and Environment Subcommittee (Transportation and Infrastructure)","7201 East Camelback Road, Suite 335
Scottsdale, Arizona 85251",,D,U.S House of Representatives,https://forms.house.gov/mitchell/webforms/issue_subscribe.htm,,,none listed,,,y,Harry E. Mitchell.jpg,Harry E.,Mitchell
97,,,http://www.jeffflake.com/,http://flake.house.gov/,"-Committee on Foreign Affairs
-Committee on Natural Resources
-Committee on Oversight and Government Reform
-Africa and Global Health Subcommittee (Foreign Affairs)
-Asia, the Pacific, and the Global Environment Subcommittee (Foreign Affairs)
-Government Management, Organization, and Procurement Subcommittee (Oversight and Government Reform)
-Insular Affairs, Oceans and Wildlife Subcommittee (Natural Resources)
-National Parks, Forests and Public Lands Subcommittee (Natural Resources)
-National Security and Foreign Affairs Subcommittee (Oversight and Government Reform)",none listed,,"240 Cannon House Office Building
Washington, D.C. 20515",,,,(202) 225-2635 :(D.C. office) * (480) 833-0092 :(District office),U.S. Rep.,(202) 226-4386 :(D.C. office) * (480) 833-6314 :(District office),,District 6,"-Committee on Foreign Affairs
-Committee on Natural Resources
-Committee on Oversight and Government Reform
-Africa and Global Health Subcommittee (Foreign Affairs)
-Asia, the Pacific, and the Global Environment Subcommittee (Foreign Affairs)
-Government Management, Organization, and Procurement Subcommittee (Oversight and Government Reform)
-Insular Affairs, Oceans and Wildlife Subcommittee (Natural Resources)
-National Parks, Forests and Public Lands Subcommittee (Natural Resources)
-National Security and Foreign Affairs Subcommittee (Oversight and Government Reform)","1640 South Stapley
Suite 215
Mesa, Arizona 85204",,R,U.S House of Representatives,https://writerep.house.gov/writerep/welcome.shtml,,,none listed,,,y,Jeff Flake.jpg,Jeff,Flake
98,,,http://grijalvaforcongress.com/,http://grijalva.house.gov/index.html,"-Committee on Education and Labor
-Committee on Natural Resources
-Early Childhood, Elementary and Secondary Education Subcommittee (Education and Labor)
-National Parks, Forests and Public Lands Subcommittee (Natural Resources)
-Water and Power Subcommittee (Natural Resources)
-Workforce Protections Subcommittee (Education and Labor)",none listed,,"1440 Longworth House Office Building
Washington, DC 20515",,,,(202) 225-2435 :(D.C. office) * (520) 622-6788 :(Tucson office) * (928) 343-7933 :(Yuma office),U.S. Rep.,(202) 225-1541 :(D.C. office) * (520) 622-0198 :(Tucson office) * (928) 343-7949 :(Yuma office),,District 7,"-Committee on Education and Labor
-Committee on Natural Resources
-Early Childhood, Elementary and Secondary Education Subcommittee (Education and Labor)
-National Parks, Forests and Public Lands Subcommittee (Natural Resources)
-Water and Power Subcommittee (Natural Resources)
-Workforce Protections Subcommittee (Education and Labor)","Tucson Office
810 E. 22nd St.
Suite 102
Tucson, AZ 85713",,D,U.S House of Representatives,"http://grijalva.house.gov/?sectionid=49&sectiontree=2,49",,"Yuma Office
1455 S. 4th Avenue
Suite 4
Yuma, AZ 85364",none listed,,,y,Raul Grijalva.jpg,Raul,Grijalva
99,,,http://www.giffordsforcongress.com/,http://giffords.house.gov/,"-Committee on Armed Services
-Committee on Foreign Affairs
-Committee on Science and Technology
-Air and Land Forces Subcommittee (Armed Services)
-Energy and Environment Subcommittee (Science and Technology)
-Readiness Subcommittee (Armed Services)
-Space and Aeronautics Subcommittee (Science and Technology)
-The Western Hemisphere Subcommittee (Foreign Affairs)",none listed,,"U.S. House of Representatives
1728 Longworth House Office Building
Washington, DC 20515",,"5353 North 16th Street
Suite 105
Phoenix, AZ 85016",,(202) 225-2542 :(D.C. office) * (520) 459-3115 :(Cochise County office) * (520) 881-3588 :(Tucson office),U.S. Rep.,(202) 225-0378 :(D.C. office) * (520) 459-5419 :(Cochise County office) * (520) 322-9490 :(Tucson office),,District 8,"-Committee on Armed Services
-Committee on Foreign Affairs
-Committee on Science and Technology
-Air and Land Forces Subcommittee (Armed Services)
-Energy and Environment Subcommittee (Science and Technology)
-Readiness Subcommittee (Armed Services)
-Space and Aeronautics Subcommittee (Science and Technology)
-The Western Hemisphere Subcommittee (Foreign Affairs)","Tucson District Office
1661 N. Swan, Suite 112
Tucson, AZ 85712",,D,U.S House of Representatives,https://giffordsforms.house.gov/contact/email.shtml,,"Cochise County District Office
77 Calle Portal, Suite B-160
Sierra Vista, AZ 85635",none listed,,,y,Gabrielle Giffords.jpg,Gabrielle,Giffords
100,,,http://www.johnmccain.com/,http://mccain.senate.gov/public/,"-Senate Armed Services Committee -Committee on Energy and Natural Resources  -Committee on Health, Education, Labor, and Pensions -Committee on Homeland Security and Governmental Affairs -Committee on Indian Affairs",none listed,," United States Senate, 241 Russell Senate Ofc. Bldg. Washington, DC 20510",,"2200 East Camelback, Suite 120
Phoenix, Arizona 85016-3455",,"(202) 224-2235 :(Washington, D.C. office) * (602) 952-2410 :(Phoenix office) * (520) 670-6334 :(Tucson office)",Minority Whip,"(202) 228-2862 :(Washington, D.C. office) * (602) 952-8702 :(Phoenix office)  * (520) 670-6637 :(Tucson office)",,Arizona,"-Senate Armed Services Committee -Committee on Energy and Natural Resources  -Committee on Health, Education, Labor, and Pensions -Committee on Homeland Security and Governmental Affairs -Committee on Indian Affairs",,,R,U.S. Senate,http://mccain.senate.gov/public/index.cfm?FuseAction=Contact.ContactForm,"122 North Cortez Street
Suite 108
Prescott, AZ 86301","4703 South Lakeshore Drive
Suite 1
Tempe, AZ 85282",none listed,,,y,John McCain.jpg,John,McCain
101,,,none listed,http://kyl.senate.gov/,"-Committee on Finance                                                     -Committee on the Judiciary
-Health Care Subcommittee (Finance)
-Social Security, Pensions and Family Policy Subcommittee (Finance)
-IRS Oversight, and Long-term Growth Subcommittee (Finance)
-Administrative Oversight and the Courts Subcommittee (Judiciary)
-Immigration, Refugees and Border Security Subcommittee (Judiciary)
-Terrorism and Homeland Security Subcommittee (Judiciary)
",none listed,,"730 Hart Senate Building
Washington, D.C. 20510",,"1700 West Washington
Phoenix, Arizona 85007
",,"(202) 224-4521 :(Washington, D.C. office) * (602) 840-1891 :(Phoenix office) * (520) 575-8633 :(Tucson office)",U.S. Sen.,"(202) 224-2207 :(Washington, D.C. office) * (602) 957-6838 :(Phoenix office) * (520) 797-3232 :(Tuscon office)",,Arizona,"-Committee on Finance                                                     -Committee on the Judiciary
-Health Care Subcommittee (Finance)
-Social Security, Pensions and Family Policy Subcommittee (Finance)
-IRS Oversight, and Long-term Growth Subcommittee (Finance)
-Administrative Oversight and the Courts Subcommittee (Judiciary)
-Immigration, Refugees and Border Security Subcommittee (Judiciary)
-Terrorism and Homeland Security Subcommittee (Judiciary)
","730 Hart Senate Building
Washington, D.C. 20510",,R,U.S. Senate,http://kyl.senate.gov/contact.cfm,,,none listed,,,y,Jon Kyl.jpg,Jon,Kyl
102,,,http://www.janbrewer.com/,http://www.azgovernor.gov/,none listed,none listed,,"Washington, D.C. 20510",,"1275 West Washington Street
Phoenix, AZ 85007",,(602) 542-4331 * (800) 253-0883,Arizona Governor,(602) 542-1381,,Arizona,none listed,"1700 West Washington
Phoenix, Arizona 85007
",,R,Arizona Office of the Governor,http://www.azgovernor.gov/Contact.asp,,,none listed,,,y,Jan Brewer.jpg,Jan,Brewer
103,,,http://www.terrygoddard.org/,http://www.azag.gov/meet_the_ag.html,none listed,aginfo@azag.gov,,"1275 West Washington Street
Phoenix, AZ 85007",,"Arizona Corporation Commission
Commissioners Wing
1200 W. Washington - 2nd Floor
Phoenix, Arizona 85007",,(800) 352-8431,Arizona Attorney General,(602) 542-4085,,Arizona,none listed,"1275 West Washington Street
Phoenix, AZ 85007",,D,Arizona Attorney General's Office,,,,none listed,,,y,Terry Goddard.jpg,Terry,Goddard
104,,,none listed,http://www.azcc.gov/commissioners/mayes/default.asp,none listed,Mayes-web@azcc.gov,," Arizona Corporation Commission
Commissioners Wing
1200 W. Washington - 2nd Floor
   Phoenix, Arizona 85007",,"Arizona Corporation Commission
Commissioners Wing
1200 W. Washington - 2nd Floor
Phoenix, Arizona 85007",,(602) 542-4143,Chairman,(602) 542-0765,,Arizona,none listed,"Arizona Corporation Commission
Commissioners Wing
1200 W. Washington - 2nd Floor
Phoenix, Arizona 85007",,R,Arizona Corporation Commission,,,,none listed,,,y,Kristin K. Mayes.jpg,Kristin K.,Mayes
105,,,http://www.garypierceforarizona.com/,http://www.azcc.gov/commissioners/pierce/default.asp,none listed,Pierce-web@azcc.gov,," Arizona Corporation Commission
Commissioners Wing
1200 W. Washington - 2nd Floor
   Phoenix, Arizona 85007
",,"Arizona Corporation Commission
Commissioners Wing
1200 W. Washington - 2nd Floor
Phoenix, Arizona 85007",,(602) 542-3933,Commissioner,(602) 542-5560,,Arizona,none listed,"Arizona Corporation Commission
Commissioners Wing
1200 W. Washington - 2nd Floor
Phoenix, Arizona 85007
",,R,Arizona Corporation Commission,,,,none listed,,,y,Gary Pierce.jpg,Gary,Pierce
106,,,none listed,http://www.azcc.gov/commissioners/pnewman/default.asp,none listed,Newman-web@azcc.gov,," Arizona Corporation Commission
Commissioners Wing
1200 W. Washington - 2nd Floor
   Phoenix, Arizona 85007
",,"Arizona Corporation Commission
Commissioners Wing
1200 W. Washington - 2nd Floor
Phoenix, Arizona 85007",,(602) 542-3682,Commissioner,(602) 542-3708,,Arizona,none listed,"Arizona Corporation Commission
Commissioners Wing
1200 W. Washington - 2nd Floor
Phoenix, Arizona 85007
",,D,Arizona Corporation Commission,,,,none listed,,,y,Paul Newman.jpg,Paul,Newman
107,,,none listed,http://www.azcc.gov/commissioners/SKennedy/default.asp,none listed,Kennedy-web@azcc.gov,," Arizona Corporation Commission
Commissioners Wing
1200 W. Washington - 2nd Floor
   Phoenix, Arizona 85007
",,"Arizona Corporation Commission
Commissioners Wing
1200 W. Washington - 2nd Floor
Phoenix, Arizona 85007",,"(602) 542-3625
",Commissioner,(602) 542-3669,,Arizona,none listed,"Arizona Corporation Commission
Commissioners Wing
1200 W. Washington - 2nd Floor
Phoenix, Arizona 85007
",,D,Arizona Corporation Commission,,,,none listed,,,y,Sandra D. Kennedy.jpg,Sandra D.,Kennedy
108,,,none listed,http://www.azcc.gov/commissioners/bstump/default.asp,none listed,Stump-web@azcc.gov,," Arizona Corporation Commission
Commissioners Wing
1200 W. Washington - 2nd Floor
   Phoenix, Arizona 85007
",,"1700 West Washington Street, 7th Floor
Phoenix, AZ 85007-2888",,(602) 542-3935,Commissioner,(602) 542-0752,,Arizona,none listed,"Arizona Corporation Commission
Commissioners Wing
1200 W. Washington - 2nd Floor
Phoenix, Arizona 85007
",,R,Arizona Corporation Commission,,,,none listed,,,y,Bob Stump.jpg,Bob,Stump
109,,,none listed,http://www.azsos.gov/,none listed,none listed,,"1700 West Washington Street, 7th Floor
Phoenix, AZ 85007-2888",,"1700 West Washington, 4th Floor; Phoenix, AZ  85007",,(602) 542-4919,Secretary of State,none listed,,Arizona,none listed,"1700 West Washington Street, 7th Floor
Phoenix, AZ 85007-2888",,R,Arizona Department of State,http://www.azsos.gov/info/contact_us.htm,,,none listed,,,y,Ken Bennett.jpg,Ken,Bennett
110,,,none listed,http://www.asmi.state.az.us/agency_info/joe_hart.asp,none listed,none listed,,"1700 West Washington, 4th Floor; Phoenix, AZ  85007",,"1535 West Jefferson Street
Phoenix, AZ 85007",,(602)-542-5971,State Mine Inspector,602-542-5335,,Arizona,none listed,,,R,Arizona State Mine Inspector,,,,none listed,,,y,Joe Hart.jpg,Joe,Hart
111,,,http://www.tomhorneexploratory.com/,http://www.ade.state.az.us/administration/superintendent/,none listed,none listed,,"P.O. Box 6490
Phoenix, AZ 85005-6490",,"1700 W. Washington Street, 1st Floor
Phoenix, AZ 85007",,(602)-542-5393 * (800)-352-4558,Superintendent of Public Instruction,(602) 542-5440,,Arizona,none listed,,,R,Arizona Department of Education,http://www.ade.state.az.us/aboutade/iwanttotellyou.asp,,,none listed,,,y,Tom Horne.jpg,Tom,Horne
112,,,http://www.votedeanmartin.com/,http://www.aztreasury.gov/biographies/DMartin.html,none listed,info@aztreasury.gov,,"1700 W. Washington Street, 1st Floor
Phoenix, AZ 85007",,"70 West 3rd South Street, St. Johns, Arizona 85936",,(602) 604-7800 * (877)-365-8310,State Treasurer,(602) 542-7176,,Arizona,none listed,,,R,Office of the Arizona State Treasurer,,,,none listed,,,y,Dean Martin.jpg,Dean,Martin
113,,,www.votewhiting.com,http://www.co.apache.az.us/Departments/Attorney/Attorney.htm,none listed,none listed,,"PO Box 637
St. Johns, AZ 85936",,370 South Washington,,(928) 337-7560,County Attorney,(928) 337-2427,,Apache County,none listed,,,D,Apache County Attorney's Office,http://www.co.apache.az.us/ContactUs.asp,,,none listed,,,y,Michael B. Whiting.jpg,Michael B.,Whiting
114,,,none listed,http://www.co.apache.az.us/Sheriff/Bio.htm,none listed,lchavez@apachecounty.net,,"PO Box 518
St. Johns, AZ 85936 ",,"District I Main Office is Located
50 Yards South of
Old Mustang Store on
US HWY 191
Mile Post 446.9",,(928) 337-4321 * (800)-352-1850,County Sheriff,(928) 337-2709,,Apache County,none listed,,,D,Apache County Sheriff's Office,http://www.co.apache.az.us/ContactUs.asp,,,none listed,,,y,JosephDedman.jpg,Joseph,"Dedman, Jr."
115,,,none listed,http://www.co.apache.az.us/Departments/Supervisors/DistrictI/DistrictI.htm,none listed,jclaw@co.apache.az.us,,"PO Box 1952, Chinle, AZ 86503",,"Navajo Route N54, Fort Defiance, Arizona 86504",,(928) 674-5664,Supervisor - District I,(928) 674-5944,,Apache County,none listed,,,D,Apache County Board of Supervisors,http://www.co.apache.az.us/ContactUs.asp,,,none listed,,,y,Jim Claw.jpg,Jim,Claw
116,,,none listed,http://www.apachecountydistrict2.org/content.asp?CustComKey=127409&CategoryKey=172915&pn=Page&DomName=apachecountydistrict2.org,none listed,eantonio@co.apache.az.us,,"PO Box 1170, Fort Defiance, Arizona 86504",,"Apache County
Annex Building 75 West Cleveland Street in
St. Johns.",,(928) 729-2141,Supervisor - District II,(928) 729-2147,,Apache County,none listed,,,D,Apache County Board of Supervisors,http://www.co.apache.az.us/ContactUs.asp,,,none listed,,,y,Tom M. White Jr..jpg,Tom M.,White Jr.
117,,,none listed,http://www.co.apache.az.us/Departments/Supervisors/DistrictIII/John.htm,none listed,rjlee@co.apache.az.us,,"PO Box 428
St. Johns, AZ 85936",,"75 W. Cleveland
PO Box 699
St. Johns, Arizona 85936 ",,(928) 337-7505,Supervisor - District III,(928) 337-2062,,Apache County,none listed,,,D,Apache County Board of Supervisors,http://www.co.apache.az.us/ContactUs.asp,,,none listed,,,y,R. John Lee.jpg,R. John,Lee
118,,,none listed,http://www.co.apache.az.us/Departments/Treasurer/Treasurer.htm,none listed,karviso@co.apache.az.us,,"PO Box 699
St. Johns, Arizona 85936",,"Apache County Annex Building, First Floor
75 West Cleveland Street, 
 St. Johns, Arizona 85936",,(928) 337-4364,County Treasurer,(928) 337-4686,,Apache County,none listed,,,D,Apache county Treasurer's Office,http://www.co.apache.az.us/ContactUs.asp,,,none listed,,,y,Katherine D. Arviso.jpg,Katherine D.,Arviso
119,,,none listed,http://www.co.apache.az.us/recorder/,none listed," 	 recorder@co.apache.az.us",,"Post Office Box 425
St. Johns, Arizona 85936",,"The Apache County Assessor's Office is located at the Apache County
Annex Building
75 West Cleveland Street in St. Johns. ",,(928) 337-7514,County Recorder,(928) 337-7676,,Apache County,none listed,,,D,Apache County Recorder's Office,http://www.co.apache.az.us/ContactUs.asp,,,none listed,,,y,LeNora Y. Johnson.jpg,LeNora Y.,Johnson
120,,,none listed,http://www.co.apache.az.us/Departments/Assessor/Assessor.htm,none listed,spena@co.apache.az.us,,"Apache County Assessor
PO Box 770
St. Johns, Arizona 85936",,"1415 Melody Lane, Building G.
Bisbee, Arizona 85603",,(928) 337-7624,County Assessor,(928) 337-3386,,Apache County,none listed,,,D,Apache County Assessor Office,http://www.co.apache.az.us/ContactUs.asp,,,none listed,,,y,Rodger Dahozy.jpg,Rodger,Dahozy
121,,,none listed,http://cochise.az.gov/cochise_board_supervisors.aspx?id=914&ekmensel=c580fa7b_154_334_914_2,none listed,aenglish@cochise.az.gov,,"1415 Melody Lane, Building G.
Bisbee, Arizona 85603",,"1415 Melody Lane, Building G.
Bisbee, Arizona 85603",,(520) 432-9200,"Chairman, District 2",(520) 432-5016,,Cochise County,none listed,,,D,Cochise County Board of Supervisors,,,,none listed,,,y,Ann English.jpg,Ann,English
122,,,none listed,http://cochise.az.gov/cochise_board_supervisors.aspx?id=918&ekmensel=c580fa7b_154_334_918_3,Arizona County Supervisors Legislative Policy Committee,rsearle@cochise.az.gov,,"1415 Melody Lane, Building G.
Bisbee, Arizona 85603",,"1415 Melody Lane, Building G.
Bisbee, Arizona 85603",,(520) 432-9200,"Vice Chairman, district 3",(520) 432-5016,,Cochise County,Arizona County Supervisors Legislative Policy Committee,,,R,Cochise County Board of Supervisors,,,,none listed,,,y,Richard Roddis Searle.jpg,Richard Roddis,Searle
123,,,none listed,http://cochise.az.gov/cochise_board_supervisors.aspx?id=910&ekmensel=c580fa7b_154_334_910_1,Upper San Pedro Partnership Governmental Affairs Committee,pcall@cochise.az.gov,,"1415 Melody Lane, Building G.
Bisbee, Arizona 85603",,"150 Quality Hill Rd
2nd Floor
P.O. Drawer CA
Bisbee, AZ  85603",,(520) 432-9200,"Supervisor, District 1",(520) 432-5016,,Cochise County,Upper San Pedro Partnership Governmental Affairs Committee,,,R,Cochise County Board of Supervisors,,,,none listed,,,y,Pat Call.jpg,Pat,Call
124,,,none listed,http://cochise.az.gov/cochise_attorney.aspx?id=234,none listed,Attorney@cochise.az.gov,,"150 Quality Hill Rd
2nd Floor
P.O. Drawer CA
Bisbee, AZ  85603",,"205 North Judd Drive
Mile Post 345, Highway 80
Bisbee, Arizona 85603",,(520) 432-8700,Attorney,(520) 432-4208 :(Criminal) * (520) 432-8778 :(Civil) * (520) 432-2487 :(Drug Unit) * (520) 432-8729 :(Misdemeanor) * (520) 432-8777 :(Victim Witness),,Cochise County,none listed,,,R,Cochise County Attorney's Office,,,,none listed,,,y,Edward G. Reinheimer.jpg,Edward G.,Rheinheimer
125,,,none listed,http://cochise.az.gov/cochise_sheriff.aspx?id=2436&ekmensel=c580fa7b_190_0_2436_9,none listed,Sheriff-Tips@cochise.az.gov,,"205 North Judd Drive
Mile Post 345, Highway 80
Bisbee, Arizona 85603",,"1415 Melody Lane
Building E
P.O. BOX 1778
Bisbee, AZ 85603",,(520) 432-9505,Sheriff,(800) 362-0812,,Cochise County,none listed,,,R,Cochise County sheriff's Office,,,,none listed,,,y,Larry A. Dever.jpg,Larry A.,Dever
126,,,none listed,http://cochise.az.gov/cochise_treasurer.aspx?id=70&ekmensel=c580fa7b_148_0_70_5,none listed,trsweb@cochise.az.gov,,"1415 Melody Lane
Building E
P.O. BOX 1778
Bisbee, AZ 85603",,"1415 Melody Lane Bldg. B
Bisbee, AZ 85603",,(520) 432-8400,Treasurer,(520) 432-8438,,Cochise County,none listed,,,D,Cochise County Treasurer's Office,,,,none listed,,,n,Marsha Bonham.jpg,Marsha,Bonham
127,,,none listed,http://cochise.az.gov/cochise_recorder.aspx?id=378,none listed,recorder@cochise.az.gov,,"1415 Melody Lane Bldg. B
Bisbee, AZ 85603",,"P.O. Box 168
Bisbee, AZ 85603",,"(520) 432-8350
",Recorder,(520) 432-8368,,Cochise County,none listed,,,D,Cochise County Recorder's Office,,,,none listed,,,n,,Christine,Rhodes
128,,,none listed,http://cochise.az.gov/cochise_assessor.aspx?id=186,none listed,assessor@cochise.az.gov,,"P.O. Box 168
Bisbee, AZ 85603",,"219 E. Cherry Ave. Flagstaff, AZ 86001",,(520) 432-8650,Assessor,(520) 432-8698,,Cochise County,none listed,,,D,Cochise County Assesor's Office,,,,none listed,,,y,,Philip S.,Leiendecker
129,,,none listed,http://www.coconino.az.gov/bos.aspx?id=84,none listed,none listed,,"219 E. Cherry Ave. Flagstaff, AZ 86001",,"219 E. Cherry Ave. Flagstaff, AZ 86001",,(928) 679-7151,"Supervisor, District 1",none listed,,Coconino County,none listed,,,D,Coconino County Board of Supervisors,http://www.coconino.az.gov/contact/form.aspx?id=117http://www.coconino.az.gov/contact/form.aspx?id=117,,,none listed,,,y,Carl Taylor.jpg,Carl,Taylor
130,,,none listed,http://www.coconino.az.gov/bos.aspx?id=91,none listed,none listed,,"219 E. Cherry Ave. Flagstaff, AZ 86001",,"219 E. Cherry Ave. Flagstaff, AZ 86001",,(928) 679-7152,"Supervisor, District 2",(928) 679-7171,,Coconino County,none listed,,,D,Coconino County Board of Supervisors,http://www.coconino.az.gov/contact/form.aspx?id=118,,,none listed,,,y,Elizabeth Archuleta.jpg,Elizabeth,Archuleta
131,,,none listed,http://www.coconino.az.gov/bos.aspx?id=92,none listed,none listed,,"219 E. Cherry Ave. Flagstaff, AZ 86001",,"219 E. Cherry Ave. Flagstaff, AZ 86001",,(928) 679-7163,"Supervisor, Chair, District 3",none listed,,Coconino County,none listed,,,D,Coconino County Board of Supervisors,http://www.coconino.az.gov/contact/form.aspx?id=456,,,none listed,,,y,Matt Ryan.jpg,Matt,Ryan
132,,,none listed,http://www.coconino.az.gov/bos.aspx?id=93,none listed,none listed,,"219 E. Cherry Ave. Flagstaff, AZ 86001",,"219 East Cherry Avenue
Flagstaff, AZ 86001",,(928) 679-7154,"Supervisor, District 4",none listed,,Coconino County,none listed,,,D,Coconino County Board of Supervisors,http://www.coconino.az.gov/contact/form.aspx?id=618,,,none listed,,,y,Mandy Metzger.jpg,Mandy,Metzger
133,,,none listed,http://www.coconino.az.gov/bos.aspx?id=94,none listed,none listed,,"219 E. Cherry Ave. Flagstaff, AZ 86001",,"110 E Cherry Avenue, Flagstaff, Arizona 86001",,(928) 283-5357 :(Tuba City Office) * (928) 679-7750 :(Flagstaff Office),"Supervisor, District 5",(928) 283-6366 :(Tuba City Office) * (928) 679-7171 :(Flagstaff Office),,Coconino County,none listed,"Tuba City Office
P.O. Box 948
Tuba City, AZ 86045",,D,Coconino County Board of Supervisors,http://www.coconino.az.gov/contact/form.aspx?id=619,,,none listed,,,y,Lena Fowler.jpg,Lena,Fowler
134,,,none listed,http://www.coconino.az.gov/ca.aspx?id=15728,none listed,none listed,,"110 E Cherry Avenue, Flagstaff, Arizona 86001",,"911 E. Sawmill Rd.
   Flagstaff, Arizona, 86001",,(928) 679-8200 * (800) 559-9289,Coconino County Attorney,(928) 679-8201,,Coconino County,none listed,,,D,Coconino County Attorney's Office,http://www.coconino.az.gov/contact/form.aspx?id=254,,,none listed,,,y,David W. Rozema.jpg,David W.,Rozema
135,,,http://www.billpribilsheriff.com/default.htm,http://www.coconino.az.gov/sheriff.aspx?id=395,none listed,none listed,,"911 E. Sawmill Rd.
   Flagstaff, Arizona, 86001",,"110 E. Cherry Avenue
Flagstaff AZ, 86001",,(928) 774-4523 * (800) 338-7888,Coconino County Sheriff,none listed,,Coconino County,none listed,,,D,Coconino County Sheriff's Office,http://www.coconino.az.gov/contact/form.aspx,,,none listed,,,y,Bill Pribil.jpg,Bill,Pribil
136,,,none listed,http://www.coconino.az.gov/treasurer/,none listed,none listed,,"110 E. Cherry Avenue
Flagstaff AZ, 86001",,"110 E. Cherry Ave.
Flagstaff, AZ 86001",,(877) 500-1818 * (928) 679-8188,Coconino County Treasurer,"(928) 679-8199
",,Coconino County,none listed,,,D,Coconino County Treasurer's Office,http://www.coconino.az.gov/contact/form.aspx?id=141,,,none listed,,,y,Bonny_lynn.jpg,Bonny K.,Lynn
137,,,none listed,http://www.coconino.az.gov/recorder.aspx?id=1028,none listed,none listed,,"110 E. Cherry Avenue
Flagstaff AZ, 86001",,"110 E. Cherry
Flagstaff, AZ 86001",,"(928) 679-7850 * (800)-793-6181
 ",Coconino County Recorder,none listed,,Coconino County,none listed,,,D,Cocnino County Recorder's Office,http://www.coconino.az.gov/contact/form.aspx?id=147,,,none listed,,,y,Candace D. Owens.jpg,Candace D.,Owens
138,,,none listed,http://www.coconino.az.gov/assessor.aspx?id=9902,none listed,none listed,,"110 E. Cherry Avenue
Flagstaff AZ, 86001",,"Gila County Courthouse
1400 E. Ash Street
Globe, AZ 85501",,(928) 679-7962 * (800) 559-9289,Coconino County Assessor,none listed,,Coconino County,none listed,,,D,Coconino County Assessor's Office,http://www.coconino.az.gov/contact/form.aspx,,,none listed,,,y,Christine Mazon.jpg,Christine,Mazon
